movieId,genome_tags_top20
1,toys|computer animation|pixar animation|kids and family|animation|kids|pixar|children|cartoon|animated|imdb top 250|friendship|story|great movie|childhood|unlikely friendships|adventure|disney animated feature|original|fun
2,adventure|children|fantasy|kids|special effects|jungle|fantasy world|fun movie|childhood|animals|family|based on a book|lions|big budget|video game|good|original|fun|mentor
3,sequel|good sequel|sequels|comedy|original
4,women|chick flick|divorce|girlie movie|romantic|relationships
5,sequel|good sequel|father daughter relationship|sequels|pregnancy|midlife crisis|family|comedy|parenthood|feel-good|original
6,crime|heist|bank robbery|great acting|action|gunfight|imdb top 250|complex characters|violent|tense|relationships|realistic action|intense|chase|betrayal|complex|visceral|excellent script|great ending|los angeles
7,remake|romantic|romantic comedy|romance|love|based on a play|good romantic comedies|destiny|paris|original|love story|chick flick
8,based on a book|adapted from:book|adaptation|literary adaptation|based on book
9,action|good action|lone hero|action packed|fight scenes|video game adaptation|hostage|secret service|explosions|chase|single father|gunfight
10,007 (series)|007|bond|action|franchise|espionage|secret service|chase|good action|assassin|spies|spying|series|james bond|adventure|weapons|action packed|good|cool|runaway
11,president|politics|world politics|political|love story|romance|romantic comedy|single father|romantic|drama|girlie movie|feel-good|chick flick|idealism|good|light|good romantic comedies|feel good movie
12,spoof|parody|comedy|hilarious|farce|vampire|silly|silly fun|goofy|funniest movies
13,animation|dog|animated|talking animals|dogs|kids and family|alaska|cartoon|animals|disney animated feature|animal movie|disney|based on true story
14,president|world politics|biographical|biopic|politics|biography|race issues|political|corruption|factual|drama|dramatic|conspiracy|dark hero|original
15,treasure hunt|swashbuckler|pirates|action|adventure|treasure|sword fight|big budget|sword fighting|action packed|good action|chase|fight scenes|original
16,organized crime|mafia|mob|casino|gangster|gangsters|violent|las vegas|violence|narrated|oscar (best supporting actor)|imdb top 250|great acting|greed|stylish|corruption|crime gone awry|gambling|masterpiece|great movie
17,18th century|adapted from:book|costume drama|period piece|romantic|jane austen|literature|19th century|based on a book|england|sisters|adaptation|chick flick|passionate|romance|beautiful scenery|beautifully filmed|based on book|london|affectionate
18,hotel|off-beat comedy|storytelling|tarantino|multiple storylines|stylish|original
19,goofy|silly fun|comedy|dumb|detective|sequel|very funny|hilarious|stupid as hell|sequels|funny|original|good sequel|funny as hell|stupidity|funniest movies|silly|africa|crude humor|parody
20,action|chase|good action|action packed|new york|train|vengeance
21,mob|gangster|gangsters|great movie|original|cool|crime|greed|great|hollywood|great dialogue|dialogue|mafia|caper|off-beat comedy|sarcasm|crime gone awry|good soundtrack|dark humor|satirical
22,serial killer|suspenseful|detective|suspense|murder mystery|police investigation|psychology|investigation|thriller|murder|san francisco|psychological|tense|obsession|twists & turns|chase|mystery|twist|good|psychiatrist
23,hit men|assassin|assassins|action|assassination|good action|hitman|surveillance|chase|gunfight|explosions|mentor|action packed|vengeance|car chase
24,touching|humanity|male nudity|mentor|emotional|disability|original
25,drinking|loneliness|melancholic|alcoholism|oscar (best actress)|las vegas|depressing|depression|oscar (best actor)|great acting|character study|addiction|downbeat|relationships|love|bittersweet|death|drama|original|dark
26,shakespeare|tragedy|great acting|adaptation|betrayal|based on a play|original
27,coming of age|friendship|girlie movie|unlikely friendships|adolescence|women|childhood|coming-of-age|good soundtrack|nostalgic|awesome soundtrack|teen movie|male nudity
28,adapted from:book|18th century|jane austen|adaptation|literature|period piece|england|19th century|costume drama|beautifully filmed|romantic|based on a book|love story
29,dark fantasy|visually stunning|visual|surreal|weird|imagination|dreams|visually appealing|dark|surrealism|dreamlike|stylized|futuristic|strange|children|nocturnal|visuals|fantasy world|cerebral|dystopia
30,cinematography|beautifully filmed|gangster|1930s|stunning|visual|storytelling|foreign|visually appealing|enigmatic|organized crime|gangsters|melancholic|colourful|scenic|original
31,teacher|good soundtrack|high school|mentor|inspirational|school|hip hop|gangsters|drama|happy ending
32,dystopic future|future|time loop|science fiction|sci fi|time travel|complicated|futuristic|scifi|complex|original|great ending|complicated plot|dystopia|imdb top 250|sci-fi|end of the world|twists & turns|cerebral|mindfuck
33,70mm|original|aviation|good|mentor
34,talking animals|animals|animal movie|pigs|children|heartwarming|cute|sweet|original|cute!|kids and family|family|feel-good|computer animation
35,relationships|love|based on a book|england|artist|love story|passionate|melancholic|intimate
36,death penalty|death|oscar (best actress)|crime|redemption|based on a book|life & death|great acting|compassionate|drama|murder|social commentary|dramatic|justice|based on book|catholicism|lawyers|guilt|heartbreaking|emotional
37,storytelling|3d|visual|technology|new york city|happy ending|destiny|pg-13|visuals|breathtaking|original
38,single father|cute|cute!|switching places|girlie movie|adoption|camp|sweet|kids|children|fun|family|original
39,teen movie|teen|girlie movie|high school|teenager|teens|chick flick|teenagers|awesome soundtrack|comedy|coming-of-age|fun movie|geeks|fashion|adolescence|virginity|quotable|light|stereotypes|adapted from:book
40,south africa|segregation|based on a book|africa|prejudice
41,shakespeare|robert downey jr|england|1930s|based on a play|fascism|adaptation|oscar (best supporting actress)|literature|original|alternate history|manipulation|18th century|great acting|visually appealing|dialogue|betrayal|tragedy|oscar (best actress)
42,bank robbery|heist|violence|crime|vietnam war|brutality|gangsters|vietnam|splatter|violent|brothers|redemption|original
43,period piece|england|robert downey jr|irish accent|historical|18th century|costume drama|london|history|medieval|great|great movie|original|doctors
44,video game adaptation|based on a video game|martial arts|video game|adapted from:game|videogame|fight scenes|computer game|action|fighting|kung fu|awesome soundtrack|ninja|video games|special effects|good action|good soundtrack|big budget|original|violence
45,obsession|dark humor|fake documentary|dark comedy|manipulation|black comedy|sexy|satirical|oscar (best directing)|original|satire|television|reality tv|murder|crime gone awry
46,women|love|chick flick|relationships|marriage|adultery|destiny|based on a book|infidelity|love story
