movieId,rating_count,rating_mean,first_rating_at,last_rating_at
1,57309,3.8937,1996-01-29 00:00:00,2019-11-20 21:23:42
2,24228,3.2515,1996-01-29 00:00:00,2019-11-20 19:07:01
3,11804,3.142,1996-02-01 14:33:48,2019-11-11 02:30:45
4,2523,2.8535,1996-02-01 14:33:45,2019-11-20 01:24:15
5,11714,3.0584,1996-02-01 14:33:44,2019-11-06 09:36:58
6,24588,3.8549,1996-02-01 14:34:00,2019-11-19 22:41:35
7,12132,3.3637,1996-01-29 00:00:00,2019-11-15 11:20:23
8,1344,3.1146,1996-02-01 14:34:25,2019-11-02 00:47:36
9,3711,2.9921,1996-02-01 14:34:08,2019-11-06 10:03:28
10,28265,3.4215,1996-01-29 00:00:00,2019-11-19 20:26:34
11,17042,3.6572,1996-01-29 00:00:00,2019-11-18 03:09:54
12,3741,2.6246,1996-01-29 00:00:00,2019-11-17 17:58:58
13,1715,3.3335,1996-02-02 12:33:34,2019-11-19 04:57:07
14,5509,3.4235,1996-02-01 14:33:59,2019-11-10 02:37:14
15,2760,2.719,1996-02-01 14:33:41,2019-11-05 14:48:34
16,18404,3.8237,1996-02-01 14:33:41,2019-11-20 19:47:44
17,19729,3.9488,1996-01-29 00:00:00,2019-11-21 03:27:40
18,5374,3.3844,1996-01-29 00:00:00,2019-11-20 21:35:41
19,21552,2.6422,1996-01-29 00:00:00,2019-11-17 04:46:47
20,3840,2.8699,1996-02-01 14:33:43,2019-10-25 01:27:15
21,22277,3.5702,1995-01-09 11:46:49,2019-11-17 17:41:24
22,9237,3.32,1996-01-29 00:00:00,2019-11-20 01:19:22
23,4108,3.1457,1996-02-01 14:33:53,2019-11-17 02:03:32
24,7450,3.1876,1996-01-29 00:00:00,2019-11-05 06:02:54
25,20070,3.6773,1996-02-02 12:33:34,2019-11-18 23:20:39
26,2549,3.6067,1996-02-01 14:33:59,2019-09-19 20:25:11
27,1577,3.4039,1996-02-01 14:33:53,2019-09-28 12:54:37
28,2950,4.03,1996-02-02 10:02:00,2019-11-10 22:56:31
29,8305,3.9367,1996-02-01 14:34:09,2019-11-16 21:29:25
30,1166,3.6368,1996-02-05 09:53:50,2019-06-16 10:49:51
31,9106,3.2448,1996-01-29 00:00:00,2019-11-17 00:37:39
32,47054,3.9058,1996-01-29 00:00:00,2019-11-20 18:54:40
33,65,3.0231,1996-04-29 11:41:24,2019-09-04 08:03:16
34,31456,3.6032,1996-01-29 00:00:00,2019-11-20 19:09:47
35,1352,3.4793,1996-02-01 14:33:51,2019-09-29 18:29:36
36,19388,3.9187,1996-01-29 00:00:00,2019-11-20 03:14:42
37,75,2.9933,1996-03-21 19:22:28,2019-02-22 04:18:42
38,631,2.8708,1996-02-02 12:36:49,2019-11-17 17:58:02
39,26230,3.4187,1996-01-29 00:00:00,2019-11-20 02:45:35
40,797,3.6267,1996-02-01 14:34:09,2019-10-04 09:51:23
41,4266,3.8434,1996-02-01 14:33:52,2019-11-17 02:03:26
42,2300,3.0496,1996-02-01 14:33:51,2019-08-24 04:30:15
43,2308,3.45,1996-02-01 14:33:52,2019-10-27 14:47:06
44,10629,2.6546,1996-02-01 14:33:35,2019-11-17 05:06:54
45,8267,3.3829,1996-01-29 00:00:00,2019-11-16 00:39:06
46,2889,3.2634,1996-02-01 14:33:36,2019-10-04 09:51:23
47,50596,4.0792,1995-01-09 11:46:49,2019-11-20 13:26:49
48,13461,2.9778,1996-01-29 00:00:00,2019-11-19 04:53:57
49,228,3.5197,1996-07-02 00:09:21,2019-07-12 08:25:29
50,55366,4.2844,1996-01-29 00:00:00,2019-11-21 00:37:21
51,28,2.6071,1996-04-29 11:42:04,2018-06-21 08:25:34
52,8543,3.5329,1996-01-29 00:00:00,2019-11-05 11:11:39
53,137,3.6496,1996-04-29 11:42:04,2019-06-02 17:15:57
54,919,2.8411,1996-03-14 09:05:11,2019-09-27 00:14:34
55,851,3.2203,1996-01-29 00:00:00,2019-11-20 01:29:45
56,65,1.9154,1996-04-29 11:42:04,2017-06-29 15:59:39
57,2236,3.3204,1996-01-29 00:00:00,2019-11-20 01:24:47
58,10483,3.9679,1996-01-29 00:00:00,2019-11-20 01:19:03
59,181,3.5635,1996-04-29 11:41:24,2018-03-30 23:18:10
60,5960,3.0959,1996-01-29 00:00:00,2019-11-13 05:15:11
61,2088,3.3161,1996-02-01 14:33:34,2019-11-10 11:23:15
62,18242,3.7154,1996-02-01 14:33:34,2019-11-20 21:09:49
63,2336,3.0839,1996-02-01 14:33:33,2019-11-19 00:24:58
64,1884,2.814,1996-02-01 14:33:32,2019-04-16 00:59:08
65,4663,2.3703,1996-02-01 14:33:58,2019-11-17 02:03:01
66,2215,2.1377,1996-02-01 14:34:06,2019-05-12 17:37:01
67,163,3.2975,1996-07-02 00:09:43,2019-11-13 13:08:45
68,1124,3.4302,1996-02-02 12:33:35,2019-10-14 16:19:07
69,4278,3.5583,1996-02-02 12:36:28,2019-11-18 21:25:54
70,14118,3.3266,1996-01-29 00:00:00,2019-11-19 15:52:55
71,1202,2.3457,1996-02-02 12:36:29,2019-10-07 19:26:24
72,1179,3.4869,1996-02-23 12:55:55,2019-10-07 19:26:38
73,2699,3.796,1996-02-01 14:34:07,2019-09-29 18:10:58
74,3235,3.2881,1996-02-01 14:34:07,2019-10-30 10:49:14
