movieId,user_tags_top10
1,pixar|animation|disney|tom hanks|computer animation|funny|children|witty|friendship|toys
2,robin williams|fantasy|time travel|animals|board game|bad cgi|kid flick|scary|family|magic board game
3,fishing|jack lemmon|moldy|old|sequel|walter matthau|ann margaret|best friend|burgess meredith|clv
4,chick flick|characters|based on novel or book|clv|divorce|interracial relationship|revenge|single mother
5,steve martin|family|pregnancy|wedding|aging|baby|clv|comedy|confidence|contraception
6,al pacino|robert de niro|realistic action|great acting|suspense|atmospheric|crime|tense|dialogue|bank robbery
7,remake|harrison ford|romance|based on a play|chick flick|greg kinnear|paris|love story|sibling relationship|ugly duckling
8,adapted from:book|author:mark twain|based on a book|disney|library system|mark twain|peter hewitt
9,jean-claude van damme|peter hyams|action|can't remember|clv|explosive|hostage|terrorist|vice president
10,james bond|007|bond|pierce brosnan|espionage|action|funny|gadgets|good dialogue|satellite
11,aaron sorkin|politics|romance|michael douglas|president|white house|great performances|morals|us president|23.03.06
12,leslie nielsen|spoof|mel brooks|bd-r|dracula|farce|funny|gothic|parody|vampire
13,dogs|talking animals|animated|sled dogs|alaska|animation|bear attack|dog|dog sled|dog-sledding race
14,oliver stone|politics|based on a true story|biographical|us president|anthony hopkins|biography|biopic|character based on real person:richard nixon|cinematographer:robert richardson
15,treasure|pirates|pirate|geena davis|action|adventure|bad acting|better than i remembered|big budget|clv
16,martin scorsese|mafia|robert de niro|organized crime|joe pesci|great performances|sharon stone|las vegas|imdb top 250|violent
17,jane austen|british|alan rickman|romantic|hugh grant|19th century|based on a book|emma thompson|costume drama|kate winslet
18,quentin tarantino|multiple storylines|tim roth|dark comedy|tarantino|hotel|robert rodriguez|anthology|antonio banderas|nudity (topless)
19,jim carrey|detective|comedy|silly fun|over the top|stupid as hell|africa|hilarious|not my kind of comedy|steve oedekerk
20,clv|joseph ruben|lame|new york city|new york subway|nudity (topless - brief)|sibling relationship|subway|train robbery|worthwhile
21,hollywood|mafia|gene hackman|john travolta|crime|movie business|satire:hollywood insiders|author:elmore leonard|drugs|elmore leonard
22,thriller|detective|suspenseful|serial killer|mystery|psychology|sigourney weaver|suspense|agoraphobia|claustrophobic
23,sylvester stallone|assassination|cat|police chase|rivalry|2.5|action|antonio banderas|bank|caribbean
24,albino|special powers|elegiac|poignant|pretentious|reflective|can't remember|christ allegory|coming of age|controversial
25,melancholic|nicolas cage|depressing|alcoholism|atmospheric|dark|suicide|nudity (topless)|drama|addiction
26,shakespeare|based on a play|nudity (topless)|adapted from:play|clv|ei muista|friends|jealousy|moor|oliver parker
27,1970s|bechdel test:pass|christina ricci|coming of age|demi moore|friendship|gaby hoffman|janeane garofalo|rita wilson|rosie o'donnell
28,jane austen|author:jane austen|adapted from:book|amanda root|18th century|19th century|based on a book|ciarán hinds|fiona shaw|setting:england
29,surreal|dystopia|dark|atmospheric|steampunk|dark fantasy|visually appealing|weird|whimsical|beautiful
30,cabaret|diva|mistress|servant|shanghai|umbrella|uncle|zhang yimou
31,inspirational|high school|teacher|education|based on a book|gangsters|michelle pfeiffer|social commentary|a list|amusement park
32,time travel|post-apocalyptic|twist ending|brad pitt|bruce willis|sci-fi|dystopia|great ending|original|psychology
33,imax 3-d|stereoscopic 3-d
34,talking animals|pigs|adventure|animal movie|animals|children|cute|fantasy|overrated|villain nonexistent or not needed for good story
35,entirely dialogue|artist|england|painter|polyamory|artists|based on a book|biopics|bloomsbury group|compare:bright star (2009)
36,true story|death penalty|prison|susan sarandon|nun|catholicism|religion|sean penn|christianity|intense
37,bd-r|imax 3-d|stereoscopic 3-d
38,andy tennant|cute|fun|heartwarming|identical twin|mary kate and ashley|matchmaking|nostalgic|orphan|relationship sabotage
39,teen movie|high school|paul rudd|alicia silverstone|1990s|chick flick|teen|funny|jane austen|brittany murphy
40,south africa|africa|based on a book|darrell roodt|hulu|racism
41,shakespeare|ian mckellen|based on a play|great acting|playwright:shakespeare|adapted from:play|clv|corrupt protagonist|dvd-ram|england
42,bank robbery|1960s|african american|armored truck|clv|crime|heist|loss of virginity|medic|mercy killing
43,historical|17th century|british monarchy|clv|court|fountain|gloves|jealousy|medicine|nudity (topless)
44,video game adaptation|fighting|martial arts|fight scenes|adapted from:game|christopher lambert|awesome soundtrack|island|ninja|paul w.s. anderson
45,dark comedy|100 essential female performances|joaquin phoenix|library|obsession|television|wayne knight|adultery|best performance: nicole kidman as suzanne stone maretto|bibliothek
46,women|a chick flick|advice|based on a book|bibliothek|clv|extramarital affair|family holiday|grandmother|love
47,serial killer|twist ending|psychology|morgan freeman|brad pitt|great ending|kevin spacey|powerful ending|disturbing|dark
48,disney|animation|strong female lead|romance|musical|native americans|cartoon|disney animated feature|forbidden love|disney renaissance
49,lesbian|circus|religion|atmospheric|female director|gay|lesbian director|lgbt|nudity|nudity (topless - notable)
50,twist ending|kevin spacey|suspense|complicated|organized crime|great ending|mindfuck|storytelling|excellent script|conspiracy
52,woody allen|a list|adoption|adoptive father|adoptive mother|child|childlessness|clv|illegal prostitution|independent film
53,gianni amelio|immigrants|in netflix queue|independent film
54,soccer|disney|holly goldberg sloan|kids and family|sport|sports|woman director
55,100 essential female performances|alcohol|artist|band|drugs|music|musicians
57,dysfunctional family|robert downey jr|thanksgiving|amazon|baltimore|bd-r|boring|comedy|drama|family clan
58,poetry|italian bittersweet romance|poets|beautifully filmed|pablo neruda|writers|boring|oscar nominee: best picture|writing|beautiful scenery
59,1.5|robert lepage
60,based on book|cupboard|toy comes to life|based on a book|family|fantasy|frank oz|games|indians|magic
61,beverly d'angelo|clv|ed harris|grieving parents|gun|john schlesinger|kiefer su|rape|sally field|self-defense
62,inspirational|music|high school|feel-good|emotional|sappy|teacher|classical music|composer|deaf
63,wayans brothers|parody|funny when your 10. less funny when your not.|hood|ghetto|goofy|cousin|date|gang|gangster
64,bill bennett|island|painting|sandra bullock|seasickness|thief
65,pauly shore|polly shore|annoying|biotope|buddy comedy|can't remember|cliche|golden raspberry (worst actor)|jason bloom|nostalgia critic
66,crap|imdb bottom 100|1990s|computer|cyberpunk|hacker|sword fight|virtual reality
67,al pacino|clv|coming of age|perrot library
68,bisexual|love triangle|estate agent|menage a trois|nudity (full frontal - notable)|nudity (full frontal)|polyamory|queer|southern france|van
69,ice cube|chris tucker|friendship|great soundtrack|funny|ghetto|stupid last comment|bgab lrc|bob*ola|comedy need to see
70,quentin tarantino|vampires|cult classic|cult film|george clooney|robert rodriguez|salma hayek|twist ending|violence|tarantino
71,based on novel or book|bomb|car chase|car crash|chase|comedy|computer hacker|conspiracy|cult film|damsel in distress
72,noah baumbach|college|coming-of-age|criterion|literate|talky|wry|long takes|quotable dialogue|understated
73,jewish|lawyer|world war ii|adapted from:book|author:victor hugo|based on a book|boxer|changed the book too much|claude lelouch|foreign language
74,chick flick|romance|family relationships|florist|girlie movie|mary stuart masterson|poor writing|predictable|prospect preferred|stalkerish
75,bully|golden raspberry (worst actor)|steve miner
76,artificial intelligence|philip k. dick|post apocalyptic|horror|sci-fi|so bad it's good|robots|post-apocalyptic|to see: b-grade horror|alien planet
77,biopic|enigmatic|music|performer|the velvet underground
78,nudity (topless)|revenge|hit-and-run|independent film|jack nicholson|loss of loved one|sean penn|suspense|tragedy
79,nudity (topless)|blackmail|brian gibson|court case|courtroom|jurors|mafia|son|trial
80,goldfish|money|celebration|children|cultural customs and traditions|different|fish|girl|jafar panahi|lost classic
81,denver|friendship|hitman|revenge|23-5-2007|assassin|blood|boat|bounty hunter|coffin
82,strong woman|mathematics|nudity (full frontal)|feminism|intellectual|lesbian|2.5|bechdel test:pass|domestic violence|family history
83,3|african american|based on a book|biography|family relationships|mississippi|racial segregation|racism|rural setting|segregation
85,19th century|nudity (full frontal - notable)|incest|secrets|a. s. byatt|based on a book|based on short story|class society|compelling|darwinism
86,coming of age|ridley scott|sailing|storm|1960s|caribbean|history|a list|bad script|clv
87,boss|bully|chimpanzee|fistfight|hotel manager|ken kwapis|orangutan|rupert everett
88,chris farley|easily confused with other movie(s) (title)|candid camera|crooked politician|double act|nitrous oxide|not bad.|penelope spheeris|political satire|politics
89,johnny depp|blackmail|kidnapping|child in peril|christopher walken|conspiracy|courtney chase|elevator|governor|hostage
92,john malkovich|what is with robert's bangs in this movie?! grr|19th century|can't remember|director: stephen frears|housemaid|jekyll and hyde|julia roberts|laboratory|monster
93,vampire|1990s|angela bassett|clv|half vampire|unfunny|vampires|wes craven
94,natalie portman|uma thurman|friendship relations|matt dillon|beautiful|coming of age|hometown|small town fun|atmospheric|believable
95,john travolta|military|nuclear bomb|stealth aircraft|action packed|john woo|park ranger|pilot|betrayal|boxing
96,actor|christmas|hamlet|kenneth branagh|play
