movieId,title,clean_title,year,genres,genres_list,primary_genre,genre_count
1,Toy Story (1995),Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,Adventure Animation Children Comedy Fantasy,Adventure,5
2,Jumanji (1995),Jumanji,1995,Adventure|Children|Fantasy,Adventure Children Fantasy,Adventure,3
3,Grumpier Old Men (1995),Grumpier Old Men,1995,Comedy|Romance,Comedy Romance,Comedy,2
4,Waiting to Exhale (1995),Waiting to Exhale,1995,Comedy|Drama|Romance,Comedy Drama Romance,Comedy,3
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995,Comedy,Comedy,Comedy,1
6,Heat (1995),Heat,1995,Action|Crime|Thriller,Action Crime Thriller,Action,3
7,Sabrina (1995),Sabrina,1995,Comedy|Romance,Comedy Romance,Comedy,2
8,Tom and Huck (1995),Tom and Huck,1995,Adventure|Children,Adventure Children,Adventure,2
9,Sudden Death (1995),Sudden Death,1995,Action,Action,Action,1
10,GoldenEye (1995),GoldenEye,1995,Action|Adventure|Thriller,Action Adventure Thriller,Action,3
11,"American President, The (1995)","American President, The",1995,Comedy|Drama|Romance,Comedy Drama Romance,Comedy,3
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995,Comedy|Horror,Comedy Horror,Comedy,2
13,Balto (1995),Balto,1995,Adventure|Animation|Children,Adventure Animation Children,Adventure,3
14,Nixon (1995),Nixon,1995,Drama,Drama,Drama,1
15,Cutthroat Island (1995),Cutthroat Island,1995,Action|Adventure|Romance,Action Adventure Romance,Action,3
16,Casino (1995),Casino,1995,Crime|Drama,Crime Drama,Crime,2
17,Sense and Sensibility (1995),Sense and Sensibility,1995,Drama|Romance,Drama Romance,Drama,2
18,Four Rooms (1995),Four Rooms,1995,Comedy,Comedy,Comedy,1
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,Comedy,Comedy,Comedy,1
20,Money Train (1995),Money Train,1995,Action|Comedy|Crime|Drama|Thriller,Action Comedy Crime Drama Thriller,Action,5
21,Get Shorty (1995),Get Shorty,1995,Comedy|Crime|Thriller,Comedy Crime Thriller,Comedy,3
22,Copycat (1995),Copycat,1995,Crime|Drama|Horror|Mystery|Thriller,Crime Drama Horror Mystery Thriller,Crime,5
23,Assassins (1995),Assassins,1995,Action|Crime|Thriller,Action Crime Thriller,Action,3
24,Powder (1995),Powder,1995,Drama|Sci-Fi,Drama Sci-Fi,Drama,2
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995,Drama|Romance,Drama Romance,Drama,2
26,Othello (1995),Othello,1995,Drama,Drama,Drama,1
27,Now and Then (1995),Now and Then,1995,Children|Drama,Children Drama,Children,2
28,Persuasion (1995),Persuasion,1995,Drama|Romance,Drama Romance,Drama,2
