tmdbId,tmdb_title,top_cast,cast_count,director,writers,producers,composer
19995,Avatar,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez,83,James Cameron,James Cameron|James Cameron,James Cameron|Jon Landau,James Horner
285,Pirates of the Caribbean: At World's End,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Chow Yun-fat,34,Gore Verbinski,Ted Elliott|Terry Rossio,Jerry Bruckheimer|Eric McLeod|Chad Oman|Peter Kohn|Pat Sandston,Hans Zimmer
206647,Spectre,Daniel Craig|Christoph Waltz|Léa Seydoux|Ralph Fiennes|Monica Bellucci,83,Sam Mendes,John Logan|John Logan|Robert Wade|Robert Wade|Neal Purvis,Barbara Broccoli|Michael G. Wilson,Thomas Newman
49026,The Dark Knight Rises,Christian Bale|Michael Caine|Gary Oldman|Anne Hathaway|Tom Hardy,158,Christopher Nolan,Christopher Nolan|Christopher Nolan|Jonathan Nolan|David S. Goyer,Charles Roven|Christopher Nolan|Emma Thomas,Hans Zimmer
49529,John Carter,Taylor Kitsch|Lynn Collins|Samantha Morton|Willem Dafoe|Thomas Haden Church,27,Andrew Stanton,Andrew Stanton|Michael Chabon|Mark Andrews,Colin Wilson|Jim Morris|Lindsey Collins,
559,Spider-Man 3,Tobey Maguire|Kirsten Dunst|James Franco|Thomas Haden Church|Topher Grace,143,Sam Raimi,Sam Raimi|Alvin Sargent|Ivan Raimi,Laura Ziskin|Avi Arad|Grant Curtis,Christopher Young
38757,Tangled,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey,13,Byron Howard|Nathan Greno,Dan Fogelman|Mark Kennedy,Roy Conli,Alan Menken|Kevin Kliesch
99861,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,72,Joss Whedon,Joss Whedon,Kevin Feige,Danny Elfman|Brian Tyler
767,Harry Potter and the Half-Blood Prince,Daniel Radcliffe|Rupert Grint|Emma Watson|Tom Felton|Michael Gambon,49,David Yates,Steve Kloves,David Heyman|David Barron|Tim Lewis,Nicholas Hooper
209112,Batman v Superman: Dawn of Justice,Ben Affleck|Henry Cavill|Gal Gadot|Amy Adams|Jesse Eisenberg,152,Zack Snyder,David S. Goyer|Chris Terrio,Charles Roven|Deborah Snyder,Hans Zimmer|Junkie XL
1452,Superman Returns,Brandon Routh|Kevin Spacey|Kate Bosworth|James Marsden|Parker Posey,18,Bryan Singer,Bryan Singer|Michael Dougherty|Michael Dougherty|Dan Harris|Dan Harris,Jon Peters|Gilbert Adler|Bryan Singer,John Ottman
10764,Quantum of Solace,Daniel Craig|Olga Kurylenko|Mathieu Amalric|Judi Dench|Giancarlo Giannini,32,Marc Forster,Paul Haggis|Robert Wade|Neal Purvis,Barbara Broccoli|Michael G. Wilson,
58,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Bill Nighy,33,Gore Verbinski,Ted Elliott|Terry Rossio,Jerry Bruckheimer|Peter Kohn|Pat Sandston,Hans Zimmer
57201,The Lone Ranger,Johnny Depp|Armie Hammer|William Fichtner|Helena Bonham Carter|James Badge Dale,60,Gore Verbinski,Ted Elliott|Terry Rossio|Justin Haythe,Gore Verbinski|Jerry Bruckheimer,Hans Zimmer
49521,Man of Steel,Henry Cavill|Amy Adams|Michael Shannon|Kevin Costner|Diane Lane,33,Zack Snyder,Christopher Nolan|David S. Goyer|David S. Goyer,Charles Roven|Christopher Nolan|Emma Thomas|Deborah Snyder,Hans Zimmer
2454,The Chronicles of Narnia: Prince Caspian,Ben Barnes|William Moseley|Anna Popplewell|Skandar Keynes|Georgie Henley,21,Andrew Adamson,Andrew Adamson|Christopher Markus|Stephen McFeely,Mark Johnson|Andrew Adamson|Philip Steuer,Harry Gregson-Williams
24428,The Avengers,Robert Downey Jr.|Chris Evans|Mark Ruffalo|Chris Hemsworth|Scarlett Johansson,115,Joss Whedon,Joss Whedon|Joss Whedon|Zak Penn,Kevin Feige,Alan Silvestri
1865,Pirates of the Caribbean: On Stranger Tides,Johnny Depp|Penélope Cruz|Ian McShane|Kevin McNally|Geoffrey Rush,35,Rob Marshall,Ted Elliott|Terry Rossio,Jerry Bruckheimer,Hans Zimmer
41154,Men in Black 3,Will Smith|Tommy Lee Jones|Josh Brolin|Michael Stuhlbarg|Emma Thompson,18,Barry Sonnenfeld,Lowell Cunningham|Etan Cohen,Walter F. Parkes|Laurie MacDonald,Danny Elfman
122917,The Hobbit: The Battle of the Five Armies,Martin Freeman|Ian McKellen|Richard Armitage|Ken Stott|Graham McTavish,42,Peter Jackson,Peter Jackson|Fran Walsh|Philippa Boyens|Guillermo del Toro,Peter Jackson|Fran Walsh|Carolynne Cunningham|Zane Weiner,Howard Shore
1930,The Amazing Spider-Man,Andrew Garfield|Emma Stone|Rhys Ifans|Denis Leary|Campbell Scott,57,Marc Webb,Alvin Sargent|Steve Kloves|James Vanderbilt|James Vanderbilt,Laura Ziskin|Avi Arad|Matt Tolmach,James Horner
20662,Robin Hood,Russell Crowe|Cate Blanchett|Max von Sydow|William Hurt|Mark Strong,34,Ridley Scott,Brian Helgeland,Brian Grazer|Ridley Scott|Russell Crowe,Marc Streitenfeld
57158,The Hobbit: The Desolation of Smaug,Martin Freeman|Ian McKellen|Richard Armitage|Ken Stott|Graham McTavish,32,Peter Jackson,Peter Jackson|Fran Walsh|Philippa Boyens|Guillermo del Toro,Peter Jackson|Fran Walsh|Carolynne Cunningham|Zane Weiner,Howard Shore
2268,The Golden Compass,Dakota Blue Richards|Nicole Kidman|Daniel Craig|Sam Elliott|Eva Green,29,Chris Weitz,Chris Weitz,Bill Carraro|Deborah Forte,Alexandre Desplat
254,King Kong,Naomi Watts|Jack Black|Adrien Brody|Thomas Kretschmann|Colin Hanks,33,Peter Jackson,,Peter Jackson|Fran Walsh|Jan Blenkin|Carolynne Cunningham,James Newton Howard|David Long|Mel Wesson
597,Titanic,Kate Winslet|Leonardo DiCaprio|Frances Fisher|Billy Zane|Kathy Bates,136,James Cameron,James Cameron,James Cameron|Jon Landau,James Horner
271110,Captain America: Civil War,Chris Evans|Robert Downey Jr.|Scarlett Johansson|Sebastian Stan|Anthony Mackie,100,Anthony Russo|Joe Russo,Christopher Markus|Stephen McFeely,Kevin Feige,Henry Jackman
44833,Battleship,Taylor Kitsch|Alexander Skarsgård|Rihanna|Brooklyn Decker|Tadanobu Asano,46,Peter Berg,Erich Hoeber|Jon Hoeber,Duncan Henderson|Scott Stuber|Brian Goldner|Peter Berg|Sarah Aubrey,Steve Jablonsky
135397,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,28,Colin Trevorrow,Rick Jaffa|Rick Jaffa|Amanda Silver|Amanda Silver|Colin Trevorrow,Frank Marshall|Patrick Crowley,Michael Giacchino
37724,Skyfall,Daniel Craig|Judi Dench|Javier Bardem|Ralph Fiennes|Naomie Harris,24,Sam Mendes,John Logan|Robert Wade|Neal Purvis,Barbara Broccoli|Michael G. Wilson,Thomas Newman
558,Spider-Man 2,Tobey Maguire|Kirsten Dunst|James Franco|Alfred Molina|Rosemary Harris,76,Sam Raimi,Stan Lee|Alvin Sargent,Laura Ziskin|Avi Arad|Lorne Orleans,Danny Elfman
68721,Iron Man 3,Robert Downey Jr.|Gwyneth Paltrow|Don Cheadle|Guy Pearce|Rebecca Hall,107,Shane Black,Shane Black|Drew Pearce,Kevin Feige,Brian Tyler
12155,Alice in Wonderland,Mia Wasikowska|Johnny Depp|Anne Hathaway|Helena Bonham Carter|Crispin Glover,35,Tim Burton,Linda Woolverton,Jennifer Todd|Suzanne Todd|Richard D. Zanuck|Katterli Frauenfelder|Joe Roth,Danny Elfman
36668,X-Men: The Last Stand,Hugh Jackman|Halle Berry|Ian McKellen|Patrick Stewart|Famke Janssen,32,Brett Ratner,Simon Kinberg|Zak Penn,Ralph Winter|Lauren Shuler Donner|Avi Arad,John Powell
62211,Monsters University,Billy Crystal|John Goodman|Steve Buscemi|Helen Mirren|Noah Johnston,24,Dan Scanlon,Daniel Gerson|Robert L. Baird|Dan Scanlon,Kori Rae,Randy Newman
8373,Transformers: Revenge of the Fallen,Shia LaBeouf|Megan Fox|Josh Duhamel|Rainn Wilson|Tyrese Gibson,37,Michael Bay,Ehren Kruger,Don Murphy|Ian Bryce|Lorenzo di Bonaventura|Tom DeSanto,Steve Jablonsky
91314,Transformers: Age of Extinction,Mark Wahlberg|Stanley Tucci|Kelsey Grammer|Nicola Peltz|Jack Reynor,41,Michael Bay,Ehren Kruger,Don Murphy|Ian Bryce|Lorenzo di Bonaventura|Tom DeSanto,Steve Jablonsky
68728,Oz: The Great and Powerful,James Franco|Mila Kunis|Rachel Weisz|Michelle Williams|Zach Braff,159,Sam Raimi,Mitchell Kapner|David Lindsay-Abaire,Joe Roth,
102382,The Amazing Spider-Man 2,Andrew Garfield|Emma Stone|Jamie Foxx|Dane DeHaan|Campbell Scott,65,Marc Webb,Alex Kurtzman|Alex Kurtzman|Roberto Orci|Roberto Orci|James Vanderbilt,Avi Arad|Matt Tolmach,Hans Zimmer|Johnny Marr|Pharrell Williams
20526,TRON: Legacy,Garrett Hedlund|Jeff Bridges|Olivia Wilde|Bruce Boxleitner|Yaya DaCosta,23,Joseph Kosinski,Steven Lisberger|Richard Jefferies|Edward Kitsis|Adam Horowitz,Steven Lisberger|Jeffrey Silver|Sean Bailey,
49013,Cars 2,Owen Wilson|Larry the Cable Guy|Michael Caine|Emily Mortimer|John Turturro,47,John Lasseter|Brad Lewis,Ben Queen,Denise Ream,Michael Giacchino
44912,Green Lantern,Ryan Reynolds|Blake Lively|Peter Sarsgaard|Tim Robbins|Mark Strong,23,Martin Campbell,Michael Goldenberg|Greg Berlanti|Marc Guggenheim|Michael Green,Donald De Line|Greg Berlanti|Geoff Johns,James Newton Howard
10193,Toy Story 3,Tom Hanks|Tim Allen|Ned Beatty|Joan Cusack|Michael Keaton,45,Lee Unkrich,Andrew Stanton|Lee Unkrich|John Lasseter|Michael Arndt,John Lasseter|Darla K. Anderson,
534,Terminator Salvation,Christian Bale|Sam Worthington|Anton Yelchin|Moon Bloodgood|Bryce Dallas Howard,15,McG,John D. Brancato|Michael Ferris,Moritz Borman|Jeffrey Silver|Derek Anderson|Victor Kubicek,Danny Elfman
168259,Furious 7,Vin Diesel|Paul Walker|Dwayne Johnson|Michelle Rodriguez|Tyrese Gibson,52,James Wan,Chris Morgan,Michael Fottrell|Neal H. Moritz|Vin Diesel|Brandon Birtell,Brian Tyler
72190,World War Z,Brad Pitt|Mireille Enos|Abigail Hargrove|Sterling Jerins|James Badge Dale,22,Marc Forster,Matthew Michael Carnahan|Drew Goddard|Damon Lindelof,Brad Pitt|Ian Bryce|Dede Gardner|Jeremy Kleiner,Marco Beltrami
127585,X-Men: Days of Future Past,Hugh Jackman|James McAvoy|Michael Fassbender|Jennifer Lawrence|Halle Berry,65,Bryan Singer,Matthew Vaughn|Simon Kinberg|Simon Kinberg|Jane Goldman,Lauren Shuler Donner|Bryan Singer|Simon Kinberg|Hutch Parker,John Ottman
54138,Star Trek Into Darkness,Chris Pine|Zachary Quinto|Zoe Saldana|Karl Urban|Simon Pegg,98,J.J. Abrams,Alex Kurtzman|Roberto Orci|Damon Lindelof,J.J. Abrams|Alex Kurtzman|Roberto Orci|Bryan Burk|Damon Lindelof,Michael Giacchino
81005,Jack the Giant Slayer,Nicholas Hoult|Eleanor Tomlinson|Ewan McGregor|Stanley Tucci|Ian McShane,23,Bryan Singer,Christopher McQuarrie|David Dobkin|Dan Studney|Darren Lemke|Darren Lemke,David Dobkin,John Ottman
